"SE","casos","APS"
201124,47,"AP3.2"
201124,83,"AP3.3"
201124,82,"AP4"
201124,110,"AP5.1"
201124,141,"AP5.2"
201124,84,"AP5.3"
201125,10,"AP1"
201125,47,"AP2.1"
201125,19,"AP2.2"
201125,21,"AP3.1"
201125,27,"AP3.2"
201125,82,"AP3.3"
201125,57,"AP4"
201125,47,"AP5.1"
201125,70,"AP5.2"
201125,50,"AP5.3"
201126,9,"AP1"
201126,52,"AP2.1"
201126,21,"AP2.2"
201126,13,"AP3.1"
201126,28,"AP3.2"
201126,55,"AP3.3"
201126,65,"AP4"
201126,25,"AP5.1"
201126,63,"AP5.2"
201126,26,"AP5.3"
201127,5,"AP1"
201127,36,"AP2.1"
201127,15,"AP2.2"
201127,12,"AP3.1"
201127,14,"AP3.2"
201127,39,"AP3.3"
201127,40,"AP4"
201127,44,"AP5.1"
201127,31,"AP5.2"
201127,18,"AP5.3"
201128,12,"AP1"
201128,33,"AP2.1"
201128,8,"AP2.2"
201128,12,"AP3.1"
201128,16,"AP3.2"
201128,31,"AP3.3"
201128,38,"AP4"
201128,21,"AP5.1"
201128,30,"AP5.2"
201128,12,"AP5.3"
201129,11,"AP1"
201129,11,"AP2.1"
201129,7,"AP2.2"
201129,4,"AP3.1"
201129,18,"AP3.2"
201129,21,"AP3.3"
201129,35,"AP4"
201129,20,"AP5.1"
201129,33,"AP5.2"
201129,2,"AP5.3"
201130,5,"AP1"
201130,26,"AP2.1"
201130,8,"AP2.2"
201130,6,"AP3.1"
201130,14,"AP3.2"
201130,19,"AP3.3"
201130,24,"AP4"
201130,15,"AP5.1"
201130,24,"AP5.2"
201130,3,"AP5.3"
201131,1,"AP1"
201131,10,"AP2.1"
201131,1,"AP2.2"
201131,4,"AP3.1"
201131,7,"AP3.2"
201131,15,"AP3.3"
201131,20,"AP4"
201131,17,"AP5.1"
201131,26,"AP5.2"
201131,10,"AP5.3"
201132,6,"AP1"
201132,9,"AP2.1"
201132,2,"AP2.2"
201132,10,"AP3.1"
201132,11,"AP3.2"
201132,9,"AP3.3"
201132,21,"AP4"
201132,25,"AP5.1"
201132,20,"AP5.2"
201132,7,"AP5.3"
201133,3,"AP1"
201133,25,"AP2.1"
201133,1,"AP2.2"
201133,3,"AP3.1"
201133,3,"AP3.2"
201133,21,"AP3.3"
201133,22,"AP4"
201133,15,"AP5.1"
201133,22,"AP5.2"
201133,9,"AP5.3"
201134,3,"AP1"
201134,13,"AP2.1"
201134,3,"AP2.2"
201134,1,"AP3.1"
201134,5,"AP3.2"
201134,15,"AP3.3"
201134,16,"AP4"
201134,14,"AP5.1"
201134,16,"AP5.2"
201134,6,"AP5.3"
201135,2,"AP1"
201135,9,"AP2.1"
201135,1,"AP2.2"
201135,2,"AP3.1"
201135,3,"AP3.2"
201135,12,"AP3.3"
201135,22,"AP4"
201135,8,"AP5.1"
201135,19,"AP5.2"
201135,4,"AP5.3"
201136,2,"AP1"
201136,16,"AP2.1"
201136,4,"AP2.2"
201136,3,"AP3.1"
201136,9,"AP3.2"
201136,19,"AP3.3"
201136,13,"AP4"
201136,11,"AP5.1"
201136,17,"AP5.2"
201136,14,"AP5.3"
201137,0,"AP1"
201137,15,"AP2.1"
201137,2,"AP2.2"
201137,5,"AP3.1"
201137,1,"AP3.2"
201137,14,"AP3.3"
201137,20,"AP4"
201137,20,"AP5.1"
201137,18,"AP5.2"
201137,3,"AP5.3"
201138,9,"AP1"
201138,15,"AP2.1"
201138,11,"AP2.2"
201138,13,"AP3.1"
201138,5,"AP3.2"
201138,22,"AP3.3"
201138,24,"AP4"
201138,26,"AP5.1"
201138,32,"AP5.2"
201138,5,"AP5.3"
201139,6,"AP1"
201139,21,"AP2.1"
201139,5,"AP2.2"
201139,10,"AP3.1"
201139,10,"AP3.2"
201139,23,"AP3.3"
201139,16,"AP4"
201139,39,"AP5.1"
201139,38,"AP5.2"
201139,7,"AP5.3"
201140,5,"AP1"
201140,25,"AP2.1"
201140,6,"AP2.2"
201140,5,"AP3.1"
201140,13,"AP3.2"
201140,18,"AP3.3"
201140,15,"AP4"
201140,54,"AP5.1"
201140,27,"AP5.2"
201140,5,"AP5.3"
201141,9,"AP1"
201141,19,"AP2.1"
201141,12,"AP2.2"
201141,3,"AP3.1"
201141,13,"AP3.2"
201141,21,"AP3.3"
201141,39,"AP4"
201141,30,"AP5.1"
201141,35,"AP5.2"
201141,13,"AP5.3"
201142,8,"AP1"
201142,32,"AP2.1"
201142,12,"AP2.2"
201142,7,"AP3.1"
201142,12,"AP3.2"
201142,10,"AP3.3"
201142,23,"AP4"
201142,33,"AP5.1"
201142,28,"AP5.2"
201142,14,"AP5.3"
201143,10,"AP1"
201143,33,"AP2.1"
201143,19,"AP2.2"
201143,24,"AP3.1"
201143,12,"AP3.2"
201143,16,"AP3.3"
201143,30,"AP4"
201143,30,"AP5.1"
201143,47,"AP5.2"
201143,11,"AP5.3"
201144,10,"AP1"
201144,21,"AP2.1"
201144,7,"AP2.2"
201144,14,"AP3.1"
201144,14,"AP3.2"
201144,31,"AP3.3"
201144,34,"AP4"
201144,36,"AP5.1"
201144,36,"AP5.2"
201144,15,"AP5.3"
201145,10,"AP1"
201145,32,"AP2.1"
201145,15,"AP2.2"
201145,31,"AP3.1"
201145,31,"AP3.2"
201145,46,"AP3.3"
201145,58,"AP4"
201145,34,"AP5.1"
201145,32,"AP5.2"
201145,15,"AP5.3"
201146,11,"AP1"
201146,43,"AP2.1"
201146,6,"AP2.2"
201146,16,"AP3.1"
201146,30,"AP3.2"
201146,36,"AP3.3"
201146,46,"AP4"
201146,10,"AP5.1"
201146,36,"AP5.2"
201146,18,"AP5.3"
201147,16,"AP1"
201147,43,"AP2.1"
201147,14,"AP2.2"
201147,51,"AP3.1"
201147,30,"AP3.2"
201147,61,"AP3.3"
201147,53,"AP4"
201147,36,"AP5.1"
201147,78,"AP5.2"
201147,19,"AP5.3"
201148,16,"AP1"
201148,61,"AP2.1"
201148,10,"AP2.2"
201148,35,"AP3.1"
201148,22,"AP3.2"
201148,58,"AP3.3"
201148,45,"AP4"
201148,44,"AP5.1"
201148,109,"AP5.2"
201148,18,"AP5.3"
201149,23,"AP1"
201149,62,"AP2.1"
