,UF,Município,"Cód IBGE","Cód Região de Saúde","Nome da Região de Saúde"
3695,RN,"Antônio Martins",240090,24006,"6ª Região de Saúde - Pau dos Ferros"
3696,RN,Apodi,240100,24002,"2ª Região de Saúde - Mossoró"
3697,RN,"Areia Branca",240110,24002,"2ª Região de Saúde - Mossoró"
3698,RN,Arês,240120,24001,"1ª Região de Saúde - São José de Mipibu"
3699,RN,"Augusto Severo",240130,24002,"2ª Região de Saúde - Mossoró"
3700,RN,"Baía Formosa",240140,24001,"1ª Região de Saúde - São José de Mipibu"
3701,RN,Baraúna,240145,24002,"2ª Região de Saúde - Mossoró"
3702,RN,Barcelona,240150,24005,"5ª Região de Saúde - Santa Cruz"
3703,RN,"Bento Fernandes",240160,24003,"3ª Região de Saúde - João Câmara"
3704,RN,"Boa Saúde",240530,24005,"5ª Região de Saúde - Santa Cruz"
3705,RN,Bodó,240165,24004,"4ª Região de Saúde - Caicó"
3706,RN,"Bom Jesus",240170,24005,"5ª Região de Saúde - Santa Cruz"
3707,RN,Brejinho,240180,24001,"1ª Região de Saúde - São José de Mipibu"
3708,RN,"Caiçara do Norte",240185,24003,"3ª Região de Saúde - João Câmara"
3709,RN,"Caiçara do Rio do Vento",240190,24003,"3ª Região de Saúde - João Câmara"
3710,RN,Caicó,240200,24004,"4ª Região de Saúde - Caicó"
3711,RN,"Campo Redondo",240210,24005,"5ª Região de Saúde - Santa Cruz"
3712,RN,Canguaretama,240220,24001,"1ª Região de Saúde - São José de Mipibu"
3713,RN,Caraúbas,240230,24002,"2ª Região de Saúde - Mossoró"
3714,RN,"Carnaúba dos Dantas",240240,24004,"4ª Região de Saúde - Caicó"
3715,RN,Carnaubais,240250,24008,"8ª Região de Saúde - Açu"
3716,RN,Ceará-Mirim,240260,24003,"3ª Região de Saúde - João Câmara"
3717,RN,"Cerro Corá",240270,24004,"4ª Região de Saúde - Caicó"
3718,RN,"Coronel Ezequiel",240280,24005,"5ª Região de Saúde - Santa Cruz"
3719,RN,"Coronel João Pessoa",240290,24006,"6ª Região de Saúde - Pau dos Ferros"
3720,RN,Cruzeta,240300,24004,"4ª Região de Saúde - Caicó"
3721,RN,"Currais Novos",240310,24004,"4ª Região de Saúde - Caicó"
3722,RN,"Doutor Severiano",240320,24006,"6ª Região de Saúde - Pau dos Ferros"
3723,RN,Encanto,240330,24006,"6ª Região de Saúde - Pau dos Ferros"
3724,RN,Equador,240340,24004,"4ª Região de Saúde - Caicó"
3725,RN,"Espírito Santo",240350,24001,"1ª Região de Saúde - São José de Mipibu"
3726,RN,Extremoz,240360,24007,"7ª Região de Saúde - Metropolitana"
3727,RN,"Felipe Guerra",240370,24002,"2ª Região de Saúde - Mossoró"
3728,RN,"Fernando Pedroza",240375,24008,"8ª Região de Saúde - Açu"
3729,RN,Florânia,240380,24004,"4ª Região de Saúde - Caicó"
3730,RN,"Francisco Dantas",240390,24006,"6ª Região de Saúde - Pau dos Ferros"
3731,RN,"Frutuoso Gomes",240400,24006,"6ª Região de Saúde - Pau dos Ferros"
3732,RN,Galinhos,240410,24003,"3ª Região de Saúde - João Câmara"
3733,RN,Goianinha,240420,24001,"1ª Região de Saúde - São José de Mipibu"
3734,RN,"Governador Dix-Sept Rosado",240430,24002,"2ª Região de Saúde - Mossoró"
3735,RN,Grossos,240440,24002,"2ª Região de Saúde - Mossoró"
3736,RN,Guamaré,240450,24003,"3ª Região de Saúde - João Câmara"
3737,RN,"Ielmo Marinho",240460,24003,"3ª Região de Saúde - João Câmara"
3738,RN,Ipanguaçu,240470,24008,"8ª Região de Saúde - Açu"
3739,RN,Ipueira,240480,24004,"4ª Região de Saúde - Caicó"
3740,RN,Itajá,240485,24008,"8ª Região de Saúde - Açu"
