"SE","tweets","Rt","casos","APS","Rtw","Rtestimado"
201350,NA,0.846153846153846,8,"AP1",NA,0.846153846153846
201351,NA,1,11,"AP1",NA,1
201352,NA,0.454545454545455,2,"AP1",NA,0.454545454545455
201401,NA,0.6,6,"AP1",NA,0.6
201401,NA,0.666666666666667,2,"AP1",NA,0.666666666666667
201402,104,4.5,2,"AP1",NA,4.5
201403,82,1.44444444444444,11,"AP1",NA,1.44444444444444
201404,76,1.38461538461538,7,"AP1",NA,1.38461538461538
201405,91,0.833333333333333,2,"AP1",0.950381679389313,0.833333333333333
201406,65,1.4,2,"AP1",0.931726907630522,1.4
201407,77,0.80952380952381,4,"AP1",1.00431034482759,0.80952380952381
201408,68,0.882352941176471,12,"AP1",0.901287553648069,0.882352941176471
