"julian","SE","data","dia","casos","twits","tmin","tmed","tmax","t18","t24","t28","t32","mmchuva","diaschuva","umin","umed","casosq","Rt"
695,100,201148,"27Nov2011",418,97,21.4303571428571,25.0026510414957,40.1825,6.99305555555556,3.51215277777778,1.41319444444444,0.550347222222222,8.1,0.182291666666667,54.8717857142857,75.8117924390262,819,1.2542113323124
702,101,201149,"4Dec2011",502,78,22.3535714285714,25.4850523955211,37.295,6.99826388888889,3.92708333333333,1.55381944444444,0.397569444444444,13.05,0.182291666666667,59.4346428571429,79.9104884525197,920,1.12332112332112
709,102,201150,"11Dec2011",581,98,23.1975,27.6562962384837,40.8675,6.99826388888889,5.61284722222222,2.78298611111111,1.19618055555556,47.3,0.338541666666667,48.7510714285714,75.3296721681097,1083,1.17717391304348
716,103,201151,"18Dec2011",512,107,24.5932142857143,29.9028042524689,42.2675,6.98611111111111,6.35763888888889,3.86805555555556,2.08333333333333,23,0.256944444444444,37.3439285714286,65.0480805409615,1093,1.00923361034164
723,104,201152,"25Dec2011",535,61,NA,24.3632064065261,33.0825,6.10069444444444,3.22916666666667,0.824652777777778,0.118055555555556,74.75,1.02430555555556,Inf,86.5062907028406,1047,0.957913998170174
730,105,201201,"1Jan2012",857,140,22.0594642857143,25.8707617262652,37.0525,6.64756944444444,4.22222222222222,1.92274305555556,0.592881944444444,65,0.605034722222222,55.0719642857143,78.5629774625551,1392,1.32951289398281
737,106,201202,"8Jan2012",970,102,24.0025,28.4806805596317,40.29,6.74565972222222,5.65451388888889,2.98524305555556,1.40625,23.675,0.130208333333333,48.1905357142857,71.0536493251758,1827,1.3125
744,107,201203,"15Jan2012",1275,125,24.5457142857143,28.6467080532942,37.59875,6.90972222222222,6.34635416666667,3.34461805555556,1.60416666666667,23.875,0.0677083333333333,46.1875,72.8427663286133,2245,1.2287903667214
751,108,201204,"22Jan2012",1441,77,23.3548214285714,27.2229790246865,40.535,6.90364583333333,4.34114583333333,2.67361111111111,1.52083333333333,52.65,0.546875,54.225,73.8491439734374,2716,1.2097995545657
758,109,201205,"29Jan2012",1670,86,23.1646428571429,28.4527237760402,39.80625,6.94965277777778,5.61284722222222,3.15625,1.80642361111111,9.65,0.0529513888888889,41.3464285714286,68.4128307947374,3111,1.14543446244477
765,110,201206,"5Feb2012",1979,87,25.4814285714286,29.9449855195696,41.0475,6.74392361111111,6.51909722222222,3.98090277777778,1.94618055555556,27.55,0.210069444444444,42.6685714285714,67.5914239525604,3649,1.17293474766956
772,111,201207,"12Feb2012",2438,120,24.4516071428571,28.9713915679994,38.01125,6.95486111111111,6.42274305555556,3.63541666666667,1.71354166666667,1.625,0.0104166666666667,42.9244642857143,67.7132245305387,4417,1.21046862154015
779,112,201208,"19Feb2012",2908,102,25.7189285714286,30.7179399220418,41.5725,6.84635416666667,6.71701388888889,4.61892361111111,2.44444444444444,7.5,0.0173611111111111,37.45125,60.193841505756,5346,1.21032374915101
786,113,201209,"26Feb2012",4156,222,25.9489285714286,30.3179432384404,41.44375,6.68229166666667,6.5546875,4.11197916666667,2.04513888888889,5.35,0.0295138888888889,40.1539285714286,64.9304200801698,7064,1.32136176580621
793,114,201210,"4Mar2012",4887,242,24.2573214285714,28.354004800189,36.695,6.97048611111111,6.34548611111111,3.31163194444444,1.33159722222222,0.075,0.00260416666666667,44.3578571428571,68.1814510374399,9043,1.28015288788222
800,115,201211,"11Mar2012",4789,206,23.8742857142857,27.6338676750126,39.4975,6.94270833333333,5.88802083333333,2.48350694444444,1.07899305555556,22.55,0.197916666666667,47.8289285714286,74.3654271394017,9676,1.06999889417229
807,116,201212,"18Mar2012",5726,252,23.7667857142857,28.0440858104806,40.58125,6.97916666666667,6.02256944444444,3.01215277777778,1.26822916666667,36.15,0.261284722222222,46.6251785714286,73.8709496237281,10515,1.08670938404299
814,117,201213,"25Mar2012",6042,267,23.1173214285714,26.7722936024608,37.36625,6.84895833333333,5.17100694444444,2.18402777777778,0.669270833333333,23.85,0.253472222222222,57.3921428571429,79.0837071537442,11768,1.11916310033286
821,118,201214,"1Apr2012",6178,262,24.1746428571429,28.0883872945011,36.66125,6.99652777777778,6.27690972222222,3.11458333333333,1.11197916666667,14.9875,0.0607638888888889,51.2616071428571,75.5839361556673,12220,1.03840924541128
828,119,201215,"8Apr2012",7420,300,24.2916071428571,28.2860085553034,38.7,6.94618055555556,6.25954861111111,3.1328125,1.2109375,9.575,0.0555555555555556,47.6275,75.5433714297478,13598,1.11276595744681
835,120,201216,"15Apr2012",8535,442,22.0039285714286,25.3598146405629,33.6575,6.99305555555556,4.40625,1.39583333333333,0.223090277777778,23.8125,0.244791666666667,58.9251785714286,78.5128728636907,15955,1.17333431386969
842,121,201217,"22Apr2012",8245,556,22.2926785714286,25.7806429334554,34.81375,6.99739583333333,4.9140625,1.515625,0.359375,10.65,0.0998263888888889,55.7378571428571,78.3810529140998,16780,1.05170792854904
849,122,201218,"29Apr2012",6934,429,19.5546428571429,22.8941509110119,31.0475,6.52777777777778,2.29947916666667,0.536458333333333,0.0130208333333333,57.9125,0.538194444444444,59.6451785714286,81.2218529473191,15179,0.904588796185936
856,123,201219,"6May2012",6355,561,20.7626785714286,24.8021772077417,34.78375,6.96440972222222,3.63020833333333,1.32725694444444,0.368923611111111,22.15,0.28125,51.5814285714286,75.4813164191181,13289,0.875485868634297
863,124,201220,"13May2012",5638,437,NA,21.4162030060291,28.7875,6.02430555555556,1.37760416666667,0.109375,0,42.05,0.556423611111111,60.9389285714286,81.9881256776765,11993,0.902475731808262
870,125,201221,"20May2012",4958,323,19.7935714285714,23.8722353029183,32.60875,6.82986111111111,3.09809027777778,0.973958333333333,0.0902777777777778,1.25,0.0104166666666667,48.1360714285714,73.9067977801102,10596,0.883515383973985
877,126,201222,"27May2012",4000,377,22.1480357142857,26.0024689449155,35.68125,6.9765625,4.51041666666667,1.8515625,0.670138888888889,6.825,0.0529513888888889,53.2648214285714,76.9311651202043,8958,0.845413363533409
884,127,201223,"3Jun2012",2985,271,21.1532142857143,23.5953221705118,36.135,6.72309027777778,2.59201388888889,0.926215277777778,0.328993055555556,48.15,0.645833333333333,69.6580357142857,84.2738105311065,6985,0.77974994418397
891,128,201224,"10Jun2012",2419,215,20.2601785714286,23.6669685864151,31.80125,6.84722222222222,2.78298611111111,0.868923611111111,0.0512152777777778,7.775,0.0625,54.1344642857143,79.0442911242897,5404,0.773657838224767
898,129,201225,"17Jun2012",1691,162,21.0683928571429,24.0306167975684,33.2925,6.88975694444444,3.02951388888889,0.708333333333333,0.138888888888889,36.875,0.241319444444444,58.9792857142857,78.7034887251003,4110,0.760547742413027
905,130,201226,"24Jun2012",1219,169,19.4314285714286,23.7602581323467,32.84375,6.80555555555556,2.79947916666667,1.11892361111111,0.149305555555556,4.225,0.0390625,49.5669642857143,76.3354209110332,2910,0.708029197080292
